,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,Q006,codigo_ibge,nome,latitude,longitude,longitude,codigo_uf
0,180008202043,2018,5300108,Brasília,44,M,0,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
1,180008257069,2018,5300108,Brasília,20,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
2,180007286706,2018,5300108,Brasília,35,M,2994,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
3,180008411107,2018,5300108,Brasília,26,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
4,180008309629,2018,5300108,Brasília,21,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
5,180008411109,2018,5300108,Brasília,32,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
6,180008787995,2018,5300108,Brasília,25,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
7,180007286714,2018,5300108,Brasília,37,F,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
8,180008895643,2018,5300108,Brasília,19,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
9,180008202059,2018,5300108,Brasília,22,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
10,180008411494,2018,5300108,Brasília,36,M,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
11,180008411496,2018,5300108,Brasília,18,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
12,180008196175,2018,5300108,Brasília,19,F,2994,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
13,180008411128,2018,5300108,Brasília,18,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
14,180008196177,2018,5300108,Brasília,17,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
15,180008788027,2018,5300108,Brasília,38,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
16,180008895672,2018,5300108,Brasília,22,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
17,180007286751,2018,5300108,Brasília,23,F,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
18,180008791361,2018,5300108,Brasília,34,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
19,180008199522,2018,5300108,Brasília,17,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
20,180007770229,2018,5300108,Brasília,16,F,3992,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
21,180008260468,2018,5300108,Brasília,22,M,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
22,180008260476,2018,5300108,Brasília,17,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
23,180008414872,2018,5300108,Brasília,18,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
24,180008260484,2018,5300108,Brasília,20,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
25,180008414883,2018,5300108,Brasília,28,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
26,180008260489,2018,5300108,Brasília,25,M,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
27,180007770259,2018,5300108,Brasília,35,M,2994,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
28,180008205455,2018,5300108,Brasília,18,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
29,180008414514,2018,5300108,Brasília,19,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
30,180008205456,2018,5300108,Brasília,18,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
31,180008263815,2018,5300108,Brasília,24,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
32,180008794724,2018,5300108,Brasília,35,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
33,180008202892,2018,5300108,Brasília,19,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
34,180007773575,2018,5300108,Brasília,24,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
35,180007293402,2018,5300108,Brasília,28,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
36,180008417853,2018,5300108,Brasília,21,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
37,180008418226,2018,5300108,Brasília,28,M,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
38,180008417860,2018,5300108,Brasília,41,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
39,180008208810,2018,5300108,Brasília,31,F,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
40,180008902404,2018,5300108,Brasília,24,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
41,180007296732,2018,5300108,Brasília,18,M,5988,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
42,180008798089,2018,5300108,Brasília,19,F,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
43,180008206261,2018,5300108,Brasília,23,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
44,180008798094,2018,5300108,Brasília,39,M,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
45,180008267202,2018,5300108,Brasília,45,F,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
46,180008421577,2018,5300108,Brasília,18,M,4990,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
47,180007776932,2018,5300108,Brasília,21,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
48,180007776933,2018,5300108,Brasília,30,M,998,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
49,180008319714,2018,5300108,Brasília,19,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
50,180008212198,2018,5300108,Brasília,27,F,3992,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
51,180008206294,2018,5300108,Brasília,15,F,230000,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
52,180008421608,2018,5300108,Brasília,17,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
53,180008323044,2018,5300108,Brasília,26,M,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
54,180008424929,2018,5300108,Brasília,37,M,4990,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
55,180008209631,2018,5300108,Brasília,27,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
56,180008424936,2018,5300108,Brasília,46,F,2495,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
57,180007300086,2018,5300108,Brasília,29,M,0,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
58,180008909134,2018,5300108,Brasília,40,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
59,180008323067,2018,5300108,Brasília,22,M,2994,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
60,180007300096,2018,5300108,Brasília,21,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
61,180008323075,2018,5300108,Brasília,19,M,4990,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
62,180008790353,2018,5300108,Brasília,20,M,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
63,180007879325,2018,5300108,Brasília,30,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
64,180008220098,2018,5300108,Brasília,25,F,1497,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
65,180008412372,2018,5300108,Brasília,17,F,2994,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
66,180008220100,2018,5300108,Brasília,17,F,1996,5300108,Brasília,-15.7795,-47.9297,-47.9297,53
