NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
160000301384.0,2016.0,João Pessoa,PB,23.0,M,1.0,7.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,550.0,629.4,574.0,462.9,120.0,120.0,100.0,120.0,120.0,580.0,E,E,D,D,2.0,B,A,B,C,A,A,B,A,A,A,A,A,A,C,B,B,C,B,B,B,E,C1
160000000001.0,2016.0,Vitorino,PR,20.0,M,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,576.6,669.8,610.1,423.6,120.0,120.0,120.0,120.0,80.0,560.0,H,H,F,F,5.0,D,A,B,D,B,A,B,B,B,A,B,A,A,B,B,A,C,B,B,B,E,C1
160000000002.0,2016.0,Salvador,BA,21.0,M,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,485.8,576.9,637.4,414.6,120.0,100.0,80.0,80.0,100.0,480.0,B,E,D,D,3.0,D,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,B,B,B,E,C2
160000000003.0,2016.0,Belém,PA,17.0,M,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,571.4,628.6,646.2,709.4,120.0,120.0,120.0,140.0,120.0,620.0,E,E,E,D,5.0,B,A,B,B,A,A,B,B,B,A,A,A,A,B,B,A,B,A,A,B,E,C1
160000000005.0,2016.0,Fortaleza,CE,20.0,M,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,556.9,537.3,585.1,708.1,120.0,100.0,160.0,120.0,100.0,600.0,H,B,C,B,3.0,B,B,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,B,E,DE
160000000007.0,2016.0,Fortaleza,CE,19.0,F,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,734.3,698.1,650.4,798.7,200.0,180.0,200.0,200.0,200.0,980.0,F,G,D,E,4.0,J,D,D,E,B,A,C,B,B,A,B,A,A,E,B,B,E,B,D,B,D,A
160000427445.0,2016.0,São Paulo,SP,23.0,F,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,392.4,474.6,469.9,422.5,140.0,120.0,120.0,140.0,60.0,580.0,D,D,B,B,2.0,B,A,B,B,A,A,B,A,A,A,B,A,A,B,B,B,C,B,B,B,E,C2
160000427446.0,2016.0,Rio de Janeiro,RJ,19.0,M,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,443.9,484.2,514.7,404.6,80.0,80.0,80.0,80.0,80.0,400.0,B,B,F,F,2.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,A,E,DE
160000427449.0,2016.0,Parnamirim,RN,29.0,M,1.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,460.1,582.1,585.0,551.6,120.0,120.0,100.0,100.0,40.0,480.0,H,G,B,E,3.0,M,A,D,E,C,A,B,A,B,A,B,A,A,D,B,B,D,B,C,B,D,A
160000427451.0,2016.0,Recife,PE,60.0,F,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,440.6,439.7,434.1,367.5,80.0,80.0,80.0,80.0,20.0,340.0,C,B,B,B,4.0,D,A,B,C,A,A,B,B,B,A,B,A,A,B,B,A,D,B,B,B,E,C2
160000427452.0,2016.0,Vila Velha,ES,16.0,F,3.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,632.7,648.1,602.5,722.5,160.0,140.0,140.0,160.0,160.0,760.0,G,F,B,E,3.0,H,B,B,D,A,A,B,B,B,A,B,A,B,D,B,B,C,B,C,B,D,B1
160000427454.0,2016.0,Campo Grande,MS,20.0,F,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,646.5,577.8,592.8,662.7,160.0,160.0,160.0,180.0,160.0,820.0,E,F,B,B,3.0,F,A,C,C,B,A,B,A,B,A,B,A,A,B,A,A,D,B,B,B,E,B1
160000427457.0,2016.0,Duque de Caxias,RJ,21.0,F,1.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,637.4,661.4,630.8,543.0,140.0,160.0,140.0,120.0,160.0,720.0,C,G,C,D,6.0,H,A,C,D,B,A,B,A,B,A,B,A,B,D,B,B,D,B,B,B,E,B1
160000427458.0,2016.0,Fortaleza,CE,18.0,M,3.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,564.1,630.2,602.3,730.6,160.0,160.0,160.0,160.0,160.0,800.0,D,D,B,F,5.0,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,E,A,B,B,E,C2
160000427461.0,2016.0,Petrolina,PE,20.0,F,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,517.3,529.9,450.1,529.7,140.0,120.0,120.0,120.0,40.0,540.0,E,D,B,B,3.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,B,A,C,A,B,B,E,C1
160000427462.0,2016.0,São Domingos,SE,24.0,M,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,446.1,544.2,500.5,599.3,120.0,120.0,120.0,120.0,100.0,580.0,A,A,A,A,6.0,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,E,DE
160000427463.0,2016.0,Primavera do Leste,MT,23.0,F,1.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,521.7,605.2,566.3,449.0,160.0,120.0,120.0,180.0,120.0,700.0,B,B,A,B,1.0,C,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,D,DE
160000427464.0,2016.0,Piracicaba,SP,23.0,F,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,478.2,578.7,585.4,443.6,120.0,80.0,100.0,100.0,80.0,480.0,D,C,C,B,4.0,E,A,B,C,B,A,B,A,B,A,B,A,A,B,B,B,D,B,B,A,E,C2
160000427466.0,2016.0,Marcolândia,PI,20.0,F,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,418.6,536.1,564.7,488.3,120.0,120.0,100.0,140.0,80.0,560.0,A,H,F,F,4.0,D,A,B,D,A,B,B,A,B,A,A,A,A,B,B,A,C,A,B,A,E,DE
160000427467.0,2016.0,Rio Grande,RS,17.0,F,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,598.3,619.1,525.6,611.9,140.0,120.0,140.0,160.0,160.0,720.0,E,E,C,D,3.0,D,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B,E,C1
160000427468.0,2016.0,São Paulo,SP,20.0,F,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,422.0,544.9,629.2,513.6,120.0,120.0,160.0,120.0,100.0,620.0,F,E,D,B,2.0,D,A,B,B,A,A,B,B,A,A,B,A,A,B,B,A,C,A,A,B,E,B2
