NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
160000301384,2016,João Pessoa,PB,23,M,0.0,3,1,7,1,1,1,1,1,550.0,629.4,574.0,462.9,120.0,120.0,100.0,120.0,120.0,580.0,E,E,D,D,2,B,A,B,C,A,A,B,A,A,A,A,A,A,C,B,B,C,B,B,B
160000000001,2016,Vitorino,PR,20,M,0.0,1,1,3,1,1,1,1,1,576.6,669.8,610.1,423.6,120.0,120.0,120.0,120.0,80.0,560.0,H,H,F,F,5,D,A,B,D,B,A,B,B,B,A,B,A,A,B,B,A,C,B,B,B
160000000002,2016,Salvador,BA,21,M,0.0,3,1,1,1,1,1,1,1,485.8,576.9,637.4,414.6,120.0,100.0,80.0,80.0,100.0,480.0,B,E,D,D,3,D,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,B,B,B
160000000003,2016,Belém,PA,17,M,0.0,1,1,1,1,1,1,1,1,571.4,628.6,646.2,709.4,120.0,120.0,120.0,140.0,120.0,620.0,E,E,E,D,5,B,A,B,B,A,A,B,B,B,A,A,A,A,B,B,A,B,A,A,B
160000000004,2016,Brasília,DF,36,F,2.0,1,1,10,1,0,0,0,0,"6    511.417708
Name: NU_NOTA_CN, dtype: float64","6    562.828
Name: NU_NOTA_CH, dtype: float64","6    545.066667
Name: NU_NOTA_LC, dtype: float64","6    519.631579
Name: NU_NOTA_MT, dtype: float64","6    127.676768
Name: NU_NOTA_COMP1, dtype: float64","6    114.747475
Name: NU_NOTA_COMP2, dtype: float64","6    112.929293
Name: NU_NOTA_COMP3, dtype: float64","6    123.030303
Name: NU_NOTA_COMP4, dtype: float64","6    81.010101
Name: NU_NOTA_COMP5, dtype: float64","6    559.393939
Name: NU_NOTA_REDACAO, dtype: float64",A,A,A,A,20,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
160000000005,2016,Fortaleza,CE,20,M,0.0,3,1,2,1,1,1,1,1,556.9,537.3,585.1,708.1,120.0,100.0,160.0,120.0,100.0,600.0,H,B,C,B,3,B,B,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,B
160000000006,2016,Fortaleza,CE,41,M,1.0,3,1,10,1,1,1,0,0,629.2,644.7,"5    540.288142
Name: NU_NOTA_LC, dtype: float64","5    544.394561
Name: NU_NOTA_MT, dtype: float64","5    128.853755
Name: NU_NOTA_COMP1, dtype: float64","5    120.079051
Name: NU_NOTA_COMP2, dtype: float64","5    115.494071
Name: NU_NOTA_COMP3, dtype: float64","5    123.873518
Name: NU_NOTA_COMP4, dtype: float64","5    92.411067
Name: NU_NOTA_COMP5, dtype: float64","5    580.711462
Name: NU_NOTA_REDACAO, dtype: float64",G,G,D,D,4,B,A,B,B,A,A,B,B,B,A,A,A,B,B,B,A,B,B,B,B
160000000007,2016,Fortaleza,CE,19,F,0.0,1,1,1,1,1,1,1,1,734.3,698.1,650.4,798.7,200.0,180.0,200.0,200.0,200.0,980.0,F,G,D,E,4,J,D,D,E,B,A,C,B,B,A,B,A,A,E,B,B,E,B,D,B
160000427444,2016,Bauru,SP,27,F,0.0,1,1,9,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",F,F,D,F,3,F,D,C,D,C,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B
160000427445,2016,São Paulo,SP,23,F,1.0,3,1,5,1,1,1,1,1,392.4,474.6,469.9,422.5,140.0,120.0,120.0,140.0,60.0,580.0,D,D,B,B,2,B,A,B,B,A,A,B,A,A,A,B,A,A,B,B,B,C,B,B,B
160000427446,2016,Rio de Janeiro,RJ,19,M,0.0,3,1,1,1,1,1,1,1,443.9,484.2,514.7,404.6,80.0,80.0,80.0,80.0,80.0,400.0,B,B,F,F,2,C,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,A
160000427447,2016,Mossoró,RN,26,F,0.0,3,4,0,1,0,0,0,0,"91   NaN
Name: NU_NOTA_CN, dtype: float64","91   NaN
Name: NU_NOTA_CH, dtype: float64","91   NaN
Name: NU_NOTA_LC, dtype: float64","91   NaN
Name: NU_NOTA_MT, dtype: float64","91   NaN
Name: NU_NOTA_COMP1, dtype: float64","91   NaN
Name: NU_NOTA_COMP2, dtype: float64","91   NaN
Name: NU_NOTA_COMP3, dtype: float64","91   NaN
Name: NU_NOTA_COMP4, dtype: float64","91   NaN
Name: NU_NOTA_COMP5, dtype: float64","91   NaN
Name: NU_NOTA_REDACAO, dtype: float64",B,E,B,B,3,C,A,B,C,A,B,B,B,B,A,B,A,A,B,B,A,C,A,B,B
160000427448,2016,Vitória,ES,30,M,0.0,1,1,10,1,0,0,0,0,"7    515.666
Name: NU_NOTA_CN, dtype: float64","7    566.9
Name: NU_NOTA_CH, dtype: float64","7    546.56789
Name: NU_NOTA_LC, dtype: float64","7    530.788
Name: NU_NOTA_MT, dtype: float64","7    127.155963
Name: NU_NOTA_COMP1, dtype: float64","7    120.183486
Name: NU_NOTA_COMP2, dtype: float64","7    119.449541
Name: NU_NOTA_COMP3, dtype: float64","7    123.302752
Name: NU_NOTA_COMP4, dtype: float64","7    91.559633
Name: NU_NOTA_COMP5, dtype: float64","7    581.651376
Name: NU_NOTA_REDACAO, dtype: float64",B,B,C,F,3,G,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,B,B,B
160000427449,2016,Parnamirim,RN,29,M,0.0,1,1,10,1,1,1,1,1,460.1,582.1,585.0,551.6,120.0,120.0,100.0,100.0,40.0,480.0,H,G,B,E,3,M,A,D,E,C,A,B,A,B,A,B,A,A,D,B,B,D,B,C,B
160000427450,2016,Belo Horizonte,MG,17,F,0.0,3,3,0,1,0,0,0,0,"59    482.246667
Name: NU_NOTA_CN, dtype: float64","59    514.62
Name: NU_NOTA_CH, dtype: float64","59    508.733333
Name: NU_NOTA_LC, dtype: float64","59    507.673333
Name: NU_NOTA_MT, dtype: float64","59    97.333333
Name: NU_NOTA_COMP1, dtype: float64","59    85.333333
Name: NU_NOTA_COMP2, dtype: float64","59    81.333333
Name: NU_NOTA_COMP3, dtype: float64","59    96.0
Name: NU_NOTA_COMP4, dtype: float64","59    58.666667
Name: NU_NOTA_COMP5, dtype: float64","59    418.666667
Name: NU_NOTA_REDACAO, dtype: float64",D,C,B,B,2,C,A,B,C,A,A,B,A,A,A,B,A,A,B,B,A,B,A,B,B
160000427451,2016,Recife,PE,60,F,3.0,1,1,10,1,1,1,1,1,440.6,439.7,434.1,367.5,80.0,80.0,80.0,80.0,20.0,340.0,C,B,B,B,4,D,A,B,C,A,A,B,B,B,A,B,A,A,B,B,A,D,B,B,B
160000427452,2016,Vila Velha,ES,16,F,0.0,3,3,0,1,1,1,1,1,632.7,648.1,602.5,722.5,160.0,140.0,140.0,160.0,160.0,760.0,G,F,B,E,3,H,B,B,D,A,A,B,B,B,A,B,A,B,D,B,B,C,B,C,B
160000427453,2016,Brasília,DF,17,M,0.0,1,1,1,1,1,1,2,2,871.3,859.1,"6    545.066667
Name: NU_NOTA_LC, dtype: float64","6    519.631579
Name: NU_NOTA_MT, dtype: float64","6    127.676768
Name: NU_NOTA_COMP1, dtype: float64","6    114.747475
Name: NU_NOTA_COMP2, dtype: float64","6    112.929293
Name: NU_NOTA_COMP3, dtype: float64","6    123.030303
Name: NU_NOTA_COMP4, dtype: float64","6    81.010101
Name: NU_NOTA_COMP5, dtype: float64","6    559.393939
Name: NU_NOTA_REDACAO, dtype: float64",G,G,E,F,3,Q,A,C,C,C,A,B,B,B,A,B,A,A,E,A,A,D,B,C,B
160000427454,2016,Campo Grande,MS,20,F,0.0,1,1,4,1,1,1,1,1,646.5,577.8,592.8,662.7,160.0,160.0,160.0,180.0,160.0,820.0,E,F,B,B,3,F,A,C,C,B,A,B,A,B,A,B,A,A,B,A,A,D,B,B,B
160000427455,2016,Patos,PB,26,F,0.0,3,1,8,1,0,0,0,0,"14    508.037121
Name: NU_NOTA_CN, dtype: float64","14    552.452555
Name: NU_NOTA_CH, dtype: float64","14    533.947445
Name: NU_NOTA_LC, dtype: float64","14    524.906061
Name: NU_NOTA_MT, dtype: float64","14    126.423358
Name: NU_NOTA_COMP1, dtype: float64","14    120.0
Name: NU_NOTA_COMP2, dtype: float64","14    115.182482
Name: NU_NOTA_COMP3, dtype: float64","14    123.941606
Name: NU_NOTA_COMP4, dtype: float64","14    89.635036
Name: NU_NOTA_COMP5, dtype: float64","14    575.182482
Name: NU_NOTA_REDACAO, dtype: float64",E,B,D,B,5,F,A,B,C,B,B,B,A,B,A,A,A,A,B,B,A,C,A,B,B
160000427456,2016,Anápolis,GO,18,F,0.0,1,1,1,1,1,1,1,1,610.3,626.9,594.2,509.9,120.0,120.0,80.0,120.0,40.0,480.0,E,B,C,B,2,B,A,A,D,A,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B
160000427457,2016,Duque de Caxias,RJ,21,F,0.0,2,1,4,1,1,1,1,1,637.4,661.4,630.8,543.0,140.0,160.0,140.0,120.0,160.0,720.0,C,G,C,D,6,H,A,C,D,B,A,B,A,B,A,B,A,B,D,B,B,D,B,B,B
160000427458,2016,Fortaleza,CE,18,M,0.0,3,3,0,1,1,1,1,1,564.1,630.2,602.3,730.6,160.0,160.0,160.0,160.0,160.0,800.0,D,D,B,F,5,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,E,A,B,B
160000427459,2016,Vitória da Conquista,BA,26,M,0.0,1,1,5,1,0,0,0,0,"4    497.883571
Name: NU_NOTA_CN, dtype: float64","4    541.560046
Name: NU_NOTA_CH, dtype: float64","4    525.986073
Name: NU_NOTA_LC, dtype: float64","4    509.27381
Name: NU_NOTA_MT, dtype: float64","4    123.561644
Name: NU_NOTA_COMP1, dtype: float64","4    117.716895
Name: NU_NOTA_COMP2, dtype: float64","4    111.278539
Name: NU_NOTA_COMP3, dtype: float64","4    119.908676
Name: NU_NOTA_COMP4, dtype: float64","4    84.383562
Name: NU_NOTA_COMP5, dtype: float64","4    556.849315
Name: NU_NOTA_REDACAO, dtype: float64",D,E,B,D,3,B,A,B,C,A,A,A,A,A,A,B,A,A,B,A,A,C,B,A,B
160000427460,2016,Paulínia,SP,31,F,0.0,1,1,10,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",B,B,B,B,5,C,A,B,D,B,A,B,A,B,A,B,A,A,C,A,A,C,A,B,A
160000427461,2016,Petrolina,PE,20,F,0.0,2,1,2,1,1,1,1,1,517.3,529.9,450.1,529.7,140.0,120.0,120.0,120.0,40.0,540.0,E,D,B,B,3,B,A,B,C,A,A,B,A,B,A,A,A,A,B,B,A,C,A,B,B
160000427462,2016,São Domingos,SE,24,M,0.0,3,2,0,2,1,1,1,1,446.1,544.2,500.5,599.3,120.0,120.0,120.0,120.0,100.0,580.0,A,A,A,A,6,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A
160000427463,2016,Primavera do Leste,MT,23,F,0.0,1,1,6,1,1,1,1,1,521.7,605.2,566.3,449.0,160.0,120.0,120.0,180.0,120.0,700.0,B,B,A,B,1,C,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
160000427464,2016,Piracicaba,SP,23,F,0.0,1,1,5,1,1,1,1,1,478.2,578.7,585.4,443.6,120.0,80.0,100.0,100.0,80.0,480.0,D,C,C,B,4,E,A,B,C,B,A,B,A,B,A,B,A,A,B,B,B,D,B,B,A
160000427465,2016,Altamira,PA,31,F,1.0,3,1,10,1,0,0,0,0,"13    481.926506
Name: NU_NOTA_CN, dtype: float64","13    521.681034
Name: NU_NOTA_CH, dtype: float64","13    510.336416
Name: NU_NOTA_LC, dtype: float64","13    494.899394
Name: NU_NOTA_MT, dtype: float64","13    122.080925
Name: NU_NOTA_COMP1, dtype: float64","13    116.069364
Name: NU_NOTA_COMP2, dtype: float64","13    112.138728
Name: NU_NOTA_COMP3, dtype: float64","13    120.0
Name: NU_NOTA_COMP4, dtype: float64","13    87.976879
Name: NU_NOTA_COMP5, dtype: float64","13    558.265896
Name: NU_NOTA_REDACAO, dtype: float64",F,G,D,D,2,M,A,B,C,B,B,B,A,B,A,B,A,A,A,A,A,C,A,C,B
160000427466,2016,Marcolândia,PI,20,F,0.0,1,1,3,1,1,1,1,1,418.6,536.1,564.7,488.3,120.0,120.0,100.0,140.0,80.0,560.0,A,H,F,F,4,D,A,B,D,A,B,B,A,B,A,A,A,A,B,B,A,C,A,B,A
160000427467,2016,Rio Grande,RS,17,F,0.0,1,1,1,1,1,1,1,1,598.3,619.1,525.6,611.9,140.0,120.0,140.0,160.0,160.0,720.0,E,E,C,D,3,D,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B
160000427468,2016,São Paulo,SP,20,F,0.0,1,4,0,1,1,1,1,1,422.0,544.9,629.2,513.6,120.0,120.0,160.0,120.0,100.0,620.0,F,E,D,B,2,D,A,B,B,A,A,B,B,A,A,B,A,A,B,B,A,C,A,A,B
160000427469,2016,Maceió,AL,26,M,0.0,3,1,9,1,1,1,1,1,467.3,602.5,597.0,563.5,140.0,160.0,140.0,140.0,100.0,680.0,E,G,C,D,3,I,B,B,D,C,A,B,B,B,A,B,A,A,D,B,B,E,B,B,B
160000427470,2016,Niterói,RJ,22,F,0.0,1,1,5,1,1,1,1,1,675.8,625.9,645.5,597.5,160.0,160.0,180.0,180.0,120.0,800.0,F,F,F,F,4,F,A,C,D,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B
160000427471,2016,Londrina,PR,25,M,0.0,1,1,8,1,1,1,1,1,687.1,637.8,594.9,870.5,160.0,140.0,160.0,140.0,120.0,720.0,B,C,A,A,2,I,A,C,C,B,A,B,A,B,B,B,A,B,C,A,B,C,A,B,B
160000427472,2016,Lagoa da Prata,MG,20,F,0.0,1,1,3,1,1,1,1,1,660.3,671.6,607.9,710.2,160.0,180.0,180.0,180.0,140.0,840.0,E,E,D,B,4,G,A,C,D,C,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
160000427473,2016,Itapecerica da Serra,SP,26,F,0.0,1,1,9,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",B,B,B,B,6,E,A,B,C,A,A,B,A,A,B,A,A,A,B,A,A,C,B,B,B
160000427474,2016,Curitiba,PR,28,F,0.0,1,4,0,1,1,1,1,1,405.9,556.5,546.7,431.2,120.0,80.0,80.0,100.0,40.0,420.0,E,E,D,B,2,E,A,B,B,B,A,B,B,B,A,B,A,A,C,A,A,B,A,A,A
160008492987,2016,Belo Horizonte,MG,23,M,0.0,3,1,5,1,1,1,1,1,487.3,608.0,590.7,374.2,140.0,120.0,120.0,120.0,40.0,540.0,E,E,C,F,4,G,A,C,D,B,A,B,A,B,A,B,A,A,B,A,B,D,B,C,B
160000427475,2016,Salvador,BA,21,M,0.0,2,1,1,1,1,1,1,1,541.7,557.7,526.4,360.5,140.0,160.0,120.0,160.0,120.0,700.0,F,E,D,B,2,E,A,C,C,B,A,B,A,A,A,A,A,A,B,B,B,C,A,B,B
160000427476,2016,Fortaleza,CE,22,F,0.0,1,1,4,1,1,1,1,1,675.1,666.3,647.1,827.1,180.0,160.0,160.0,160.0,100.0,760.0,E,F,D,D,5,D,A,C,D,B,A,B,A,A,A,B,A,A,B,A,B,E,B,B,B
160000427477,2016,Juiz de Fora,MG,22,F,0.0,1,1,5,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",C,E,D,F,2,D,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B
160000427478,2016,Aparecida de Goiânia,GO,21,M,0.0,3,1,5,1,1,1,1,1,625.9,634.3,533.2,623.5,160.0,160.0,140.0,160.0,140.0,760.0,E,E,B,D,4,G,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,B,B,B
160000427479,2016,Diadema,SP,18,F,0.0,1,1,1,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",E,F,D,E,4,D,A,B,C,B,A,B,B,B,A,B,A,A,C,A,A,C,A,A,B
160000427480,2016,Cotia,SP,20,M,0.0,1,1,3,1,0,0,0,0,"25    509.502762
Name: NU_NOTA_CN, dtype: float64","25    566.397075
Name: NU_NOTA_CH, dtype: float64","25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",G,D,E,B,4,E,A,C,D,C,A,C,B,B,A,B,A,B,E,B,B,D,B,C,B
160000427481,2016,Rio de Janeiro,RJ,29,M,0.0,3,1,1,1,1,1,1,1,415.6,513.6,524.2,442.6,120.0,100.0,100.0,120.0,20.0,460.0,E,E,F,B,2,B,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,B,B,B,B
160000427482,2016,Fortaleza,CE,32,M,0.0,1,1,10,1,0,0,0,0,"5    509.170612
Name: NU_NOTA_CN, dtype: float64","5    564.057143
Name: NU_NOTA_CH, dtype: float64","5    540.288142
Name: NU_NOTA_LC, dtype: float64","5    544.394561
Name: NU_NOTA_MT, dtype: float64","5    128.853755
Name: NU_NOTA_COMP1, dtype: float64","5    120.079051
Name: NU_NOTA_COMP2, dtype: float64","5    115.494071
Name: NU_NOTA_COMP3, dtype: float64","5    123.873518
Name: NU_NOTA_COMP4, dtype: float64","5    92.411067
Name: NU_NOTA_COMP5, dtype: float64","5    580.711462
Name: NU_NOTA_REDACAO, dtype: float64",F,E,D,C,4,H,A,C,C,A,A,B,A,A,A,B,A,A,D,B,A,C,B,B,B
160000427483,2016,São Paulo,SP,28,M,0.0,1,1,1,1,1,1,1,1,563.2,637.0,643.0,482.8,140.0,40.0,80.0,100.0,20.0,380.0,H,B,F,C,5,E,A,B,C,A,A,B,A,B,A,A,A,B,B,A,A,C,A,C,B
160000427484,2016,Brasília,DF,21,F,0.0,4,4,0,1,0,0,0,0,"78    467.95
Name: NU_NOTA_CN, dtype: float64","78    564.4
Name: NU_NOTA_CH, dtype: float64","78    522.466667
Name: NU_NOTA_LC, dtype: float64","78    444.3
Name: NU_NOTA_MT, dtype: float64","78    113.333333
Name: NU_NOTA_COMP1, dtype: float64","78    90.0
Name: NU_NOTA_COMP2, dtype: float64","78    73.333333
Name: NU_NOTA_COMP3, dtype: float64","78    80.0
Name: NU_NOTA_COMP4, dtype: float64","78    66.666667
Name: NU_NOTA_COMP5, dtype: float64","78    423.333333
Name: NU_NOTA_REDACAO, dtype: float64",E,E,C,B,1,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,B,A,B,B
